pop_size: 4000, generations: 450, Px: 0.75, Pm: 0.001, Tour: 10, Elite: 0.04
1; 293827; 340423; 385430;
2; 288722; 323448; 365737;
3; 277159; 311633; 345903;
4; 269581; 301667; 338233;
5; 259920; 293652; 328024;
6; 255304; 286184; 325277;
7; 251513; 279237; 317027;
8; 250314; 272222; 315099;
9; 245000; 264777; 300582;
10; 239478; 260124; 298177;
11; 237471; 256356; 291596;
12; 230868; 252048; 286917;
13; 228282; 248046; 281713;
14; 221155; 243960; 275038;
15; 221155; 240448; 274123;
16; 218658; 236080; 270104;
17; 214578; 231679; 268476;
18; 214578; 226110; 260245;
19; 212646; 221364; 247794;
20; 208603; 219204; 242646;
21; 205996; 216545; 239561;
22; 202397; 213938; 236364;
23; 199903; 211065; 236702;
24; 196629; 208505; 230876;
25; 193078; 205639; 227245;
26; 189945; 202567; 220114;
27; 188092; 199316; 219177;
28; 184141; 196339; 214318;
29; 182866; 193460; 210704;
30; 180071; 190225; 204491;
31; 176552; 187118; 204116;
32; 174564; 184787; 201234;
33; 173511; 182401; 197452;
34; 170354; 179875; 196831;
35; 169301; 177420; 190093;
36; 168294; 175393; 190257;
37; 166321; 173530; 186461;
38; 165217; 171981; 185975;
39; 162920; 170560; 185228;
40; 161864; 169217; 184068;
41; 160302; 167352; 182249;
42; 157468; 165469; 177961;
43; 156981; 163803; 177565;
44; 155047; 161906; 176012;
45; 153471; 159783; 173880;
46; 151966; 157943; 169268;
47; 150370; 156291; 170676;
48; 148390; 154550; 166364;
49; 146888; 152981; 163778;
50; 145513; 151322; 161987;
51; 142614; 149720; 162791;
52; 141230; 148079; 160103;
53; 139982; 146184; 157666;
54; 138271; 144207; 161339;
55; 138078; 142534; 153369;
56; 136945; 141029; 153087;
57; 135180; 139589; 148347;
58; 133929; 138248; 147189;
59; 133684; 136787; 145877;
60; 132355; 135809; 147222;
61; 132040; 134954; 144559;
62; 131124; 134163; 145418;
63; 130087; 133202; 143842;
64; 129089; 132145; 143678;
65; 128166; 131224; 139299;
66; 127169; 130441; 139388;
67; 126313; 129541; 139984;
68; 125966; 128428; 137542;
69; 125605; 127695; 136885;
70; 125119; 126961; 136119;
71; 124635; 126344; 135908;
72; 123401; 125829; 134754;
73; 122887; 125392; 134630;
74; 121673; 124777; 133946;
75; 121452; 124159; 133685;
76; 120522; 123602; 133171;
77; 119322; 122847; 133593;
78; 119286; 122197; 132256;
79; 118717; 121519; 131382;
80; 118273; 120825; 129847;
81; 117572; 120086; 129808;
82; 117151; 119507; 129793;
83; 115971; 118876; 129190;
84; 115871; 118200; 128166;
85; 115226; 117595; 129369;
86; 115138; 116919; 126625;
87; 114876; 116015; 122821;
88; 114632; 115499; 123912;
89; 114296; 115398; 123913;
90; 113926; 115462; 123360;
91; 113313; 114995; 121978;
92; 112662; 114848; 124990;
93; 112270; 114465; 123448;
94; 111589; 113910; 123672;
95; 111589; 113165; 121787;
96; 110970; 112942; 121991;
97; 110545; 112498; 120985;
98; 109804; 112149; 120687;
99; 109405; 111509; 118948;
100; 108786; 111207; 120263;
101; 107759; 110679; 118386;
102; 107478; 109995; 119883;
103; 107182; 109170; 117642;
104; 107182; 108460; 117259;
105; 106751; 107585; 115475;
106; 106666; 107302; 114410;
107; 105391; 107104; 114159;
108; 105391; 106911; 115746;
109; 104790; 107029; 116919;
110; 104752; 107092; 116713;
111; 103649; 106975; 117944;
112; 103292; 106343; 117909;
113; 102712; 106185; 116567;
114; 101744; 105868; 116603;
115; 101448; 104900; 115109;
116; 101124; 104254; 115272;
117; 99578; 103427; 113833;
118; 99023; 102764; 111586;
119; 99023; 102066; 111279;
120; 98602; 101040; 112243;
121; 98263; 99938; 111202;
122; 97799; 99226; 107779;
123; 97586; 99412; 107867;
124; 97312; 99337; 109302;
125; 96928; 98756; 109089;
126; 96265; 98300; 110047;
127; 96058; 97759; 106717;
128; 95900; 97394; 105102;
129; 95662; 97016; 105270;
130; 94520; 96939; 105476;
131; 94520; 96624; 107600;
132; 94336; 95967; 103946;
133; 94099; 95674; 104291;
134; 93595; 95904; 104190;
135; 93126; 95904; 105937;
136; 93126; 95980; 107086;
137; 92558; 95678; 106972;
138; 92367; 95065; 103904;
139; 92040; 94698; 104401;
140; 91764; 94205; 104012;
141; 91569; 93590; 106594;
142; 91136; 92850; 101494;
143; 90713; 92488; 102355;
144; 90452; 92205; 102804;
145; 89951; 91897; 102275;
146; 89515; 91500; 101883;
147; 89174; 91092; 100149;
148; 88462; 90562; 99336;
149; 87973; 90141; 98449;
150; 87530; 89487; 99485;
151; 87241; 89005; 97828;
152; 86725; 88457; 96446;
153; 86315; 87882; 95745;
154; 86008; 87474; 94478;
155; 85525; 87217; 94711;
156; 84452; 87266; 98006;
157; 84251; 87296; 95789;
158; 84200; 87103; 97275;
159; 83800; 86246; 94586;
160; 83800; 84791; 94694;
161; 83642; 84383; 91949;
162; 82877; 84358; 93232;
163; 82831; 84340; 94115;
164; 81980; 83850; 94240;
165; 81828; 83487; 91847;
166; 81289; 83011; 90775;
167; 81193; 82354; 89987;
168; 81030; 81982; 88909;
169; 80749; 81348; 88636;
170; 80235; 81265; 87175;
171; 80235; 81174; 88630;
172; 79895; 80848; 87044;
173; 78857; 80788; 87644;
174; 78616; 80577; 87173;
175; 78358; 80308; 85638;
176; 77192; 79946; 88263;
177; 77192; 78872; 86110;
178; 76346; 78641; 85199;
179; 76346; 77973; 84043;
180; 75686; 77193; 83078;
181; 75686; 76962; 83203;
182; 75063; 76420; 82869;
183; 74498; 76047; 82682;
184; 74447; 75730; 82605;
185; 73750; 75293; 81971;
186; 73591; 74769; 82346;
187; 73308; 74519; 84039;
188; 72814; 74117; 79910;
189; 72814; 73736; 80784;
190; 72314; 73443; 80492;
191; 72262; 73151; 79746;
192; 72105; 72853; 79844;
193; 71955; 72638; 80135;
194; 71706; 72390; 79462;
195; 71706; 72277; 79279;
196; 71456; 72131; 79430;
197; 71233; 71919; 78463;
198; 71233; 71730; 78538;
199; 70899; 71695; 77592;
200; 70650; 71521; 78778;
201; 70317; 71325; 78601;
202; 69602; 71136; 78463;
203; 69495; 70770; 78341;
204; 69467; 70246; 76633;
205; 69115; 70000; 76737;
206; 69008; 69628; 75983;
207; 68955; 69516; 76237;
208; 68807; 69376; 76397;
209; 68779; 69116; 77205;
210; 68480; 68986; 75790;
211; 68374; 68858; 76376;
212; 68311; 68814; 76173;
213; 68284; 68700; 77801;
214; 68262; 68464; 75705;
215; 68235; 68371; 75577;
216; 68134; 68316; 74545;
217; 68056; 68325; 74841;
218; 67901; 68260; 73909;
219; 67779; 68181; 75180;
220; 67452; 68160; 75053;
221; 67402; 68090; 74432;
222; 67152; 67950; 75055;
223; 66984; 67731; 76207;
224; 66938; 67554; 74569;
225; 66805; 67277; 74184;
226; 66692; 67176; 74165;
227; 66597; 67026; 76008;
228; 66350; 66951; 75018;
229; 66260; 66734; 73258;
230; 66025; 66718; 73714;
231; 65870; 66837; 75062;
232; 65480; 66539; 74057;
233; 65259; 66497; 73571;
234; 64788; 66515; 76855;
235; 64470; 66347; 73977;
236; 64470; 66266; 74665;
237; 64135; 65234; 77045;
238; 63653; 65329; 75344;
239; 63368; 64906; 74613;
240; 63238; 64708; 72278;
241; 62957; 64770; 73399;
242; 62807; 64090; 76750;
243; 62035; 63523; 69412;
244; 61798; 63271; 69812;
245; 61513; 62970; 70547;
246; 61426; 62673; 69560;
247; 61180; 62270; 69153;
248; 61180; 61630; 68305;
249; 61169; 61444; 68259;
250; 60709; 61353; 69051;
251; 60464; 61203; 68358;
252; 60365; 61204; 67996;
253; 59765; 61052; 67575;
254; 59635; 60708; 67420;
255; 59463; 60161; 67641;
256; 59271; 59878; 65917;
257; 59113; 59733; 66799;
258; 58829; 59656; 67677;
259; 58466; 59457; 66520;
260; 58413; 59229; 65903;
261; 58113; 59014; 66751;
262; 57754; 58702; 65550;
263; 57472; 58405; 64765;
264; 57276; 58141; 64173;
265; 57234; 57859; 63691;
266; 57225; 57424; 64078;
267; 57141; 57306; 64358;
268; 57141; 57286; 63934;
269; 57090; 57259; 64082;
270; 56876; 57205; 64427;
271; 56876; 57147; 64319;
272; 56822; 57130; 63778;
273; 56655; 57173; 64134;
274; 56507; 57209; 64282;
275; 56182; 56995; 63978;
276; 55995; 56975; 63208;
277; 55995; 56637; 63438;
278; 55677; 56557; 63274;
279; 55252; 56255; 63657;
280; 55066; 56062; 64640;
281; 54945; 55865; 65222;
282; 54646; 55688; 63233;
283; 54646; 55304; 63221;
284; 54012; 54979; 61542;
285; 53953; 54798; 61493;
286; 53953; 54639; 61543;
287; 53790; 54389; 61209;
288; 53790; 54023; 61751;
289; 53731; 53983; 60369;
290; 53600; 54023; 60969;
291; 53568; 54051; 61453;
292; 53413; 54001; 61440;
293; 53240; 53928; 62184;
294; 53240; 53663; 59688;
295; 53101; 53619; 60274;
296; 53101; 53527; 59953;
297; 53033; 53429; 59922;
298; 52971; 53463; 60115;
299; 52971; 53376; 63208;
300; 52663; 53155; 59782;
301; 52619; 53204; 62302;
302; 52609; 53098; 61921;
303; 52507; 53032; 60411;
304; 52507; 52721; 59821;
305; 52466; 52690; 59410;
306; 52087; 52663; 59631;
307; 52003; 52589; 59319;
308; 51887; 52600; 59185;
309; 51863; 52511; 61793;
310; 51808; 52209; 59106;
311; 51265; 52033; 59085;
312; 51265; 52005; 58057;
313; 51265; 52000; 60407;
314; 50870; 52058; 60735;
315; 50870; 52280; 61697;
316; 50476; 52821; 60704;
317; 50378; 52108; 59892;
318; 50378; 52573; 64759;
319; 50378; 51440; 60529;
320; 50045; 51149; 60835;
321; 50002; 51422; 63396;
322; 49716; 51864; 60484;
323; 49716; 51770; 63315;
324; 49463; 50913; 59425;
325; 49426; 51322; 63175;
326; 48821; 51037; 60919;
327; 48748; 51146; 59746;
328; 48654; 51081; 64851;
329; 48654; 50180; 57422;
330; 48581; 49020; 57684;
331; 48540; 48827; 54569;
332; 48484; 48771; 55897;
333; 48337; 48628; 54482;
334; 48274; 48606; 55438;
335; 48252; 48521; 55897;
336; 48252; 48376; 55771;
337; 48242; 48336; 54790;
338; 48242; 48281; 55354;
339; 48242; 48274; 55677;
340; 48242; 48266; 55776;
341; 48242; 48255; 54205;
342; 48242; 48268; 55244;
343; 48242; 48269; 53759;
344; 48242; 48268; 55393;
