pop_size: 1200, generations: 120, Px: 0.75, Pm: 0.2, Tour: 5, Elite: 0.04
1; 24127; 29907; 34610;
2; 23355; 28297; 33346;
3; 23025; 27034; 31400;
4; 21990; 25969; 30914;
5; 21602; 24902; 29664;
6; 19474; 23904; 29086;
7; 19204; 23032; 27824;
8; 18753; 22241; 27427;
9; 18072; 21404; 26548;
10; 17455; 20625; 25501;
11; 17455; 20054; 24464;
12; 16790; 19557; 23876;
13; 15990; 19184; 24248;
14; 15702; 18870; 22737;
15; 15702; 18461; 22851;
16; 15665; 18006; 22493;
17; 15393; 17454; 22115;
18; 14459; 17003; 21584;
19; 14459; 16639; 20429;
20; 14025; 16313; 21123;
21; 14025; 16192; 20360;
22; 13434; 15864; 19753;
23; 13434; 15488; 19483;
24; 13400; 15112; 18966;
25; 13330; 14699; 18835;
26; 13095; 14312; 17786;
27; 12991; 14019; 18162;
28; 12777; 13821; 17369;
29; 12642; 13739; 16825;
30; 12475; 13635; 16782;
31; 12131; 13457; 16257;
32; 12107; 13316; 16606;
33; 12107; 13148; 16562;
34; 12107; 12986; 15984;
35; 12009; 12829; 15437;
36; 11801; 12640; 15677;
37; 11776; 12511; 15585;
38; 11657; 12389; 15151;
39; 11298; 12363; 16210;
40; 11298; 12238; 14818;
41; 11298; 12084; 14787;
42; 11297; 11926; 14495;
43; 11078; 11823; 14282;
44; 10952; 11741; 14787;
45; 10926; 11607; 14196;
46; 10616; 11469; 14522;
47; 10534; 11354; 14200;
48; 10534; 11192; 13742;
49; 10489; 11091; 13958;
50; 10384; 10990; 13512;
51; 10384; 10906; 14899;
52; 10263; 10825; 14052;
53; 10261; 10814; 13397;
54; 10189; 10773; 13693;
55; 10167; 10702; 13855;
56; 10005; 10630; 14153;
57; 9941; 10612; 13402;
58; 9896; 10593; 13722;
59; 9896; 10546; 14071;
60; 9854; 10408; 13181;
61; 9678; 10262; 13762;
62; 9567; 10163; 12837;
63; 9567; 10116; 13471;
64; 9567; 10217; 13373;
65; 9567; 10231; 13392;
66; 9470; 10127; 13814;
67; 9455; 10037; 13847;
68; 9455; 9844; 13701;
69; 9308; 9795; 12684;
70; 9308; 9771; 12920;
71; 9017; 9698; 12843;
72; 9017; 9725; 13769;
73; 8984; 9633; 12416;
74; 8984; 9539; 12519;
75; 8902; 9518; 12159;
76; 8902; 9445; 12214;
77; 8833; 9273; 12750;
78; 8809; 9147; 12067;
79; 8766; 9158; 11685;
80; 8761; 9115; 11643;
81; 8733; 9027; 12676;
82; 8666; 9084; 12574;
83; 8638; 9159; 12336;
84; 8615; 9215; 12678;
85; 8571; 9195; 12862;
86; 8493; 9107; 12228;
87; 8478; 9154; 12863;
88; 8342; 9182; 13050;
89; 8192; 9084; 12647;
90; 8192; 8989; 12464;
91; 8192; 8858; 12456;
92; 8088; 8735; 12108;
93; 8088; 8583; 12739;
94; 8088; 8395; 11259;
95; 8088; 8348; 12716;
96; 8083; 8302; 10799;
97; 8083; 8228; 10523;
98; 8075; 8226; 10674;
99; 8024; 8268; 11052;
100; 8024; 8320; 11589;
101; 8024; 8393; 12989;
102; 8024; 8477; 12160;
103; 8024; 8475; 11494;
104; 7979; 8413; 11620;
105; 7979; 8264; 12322;
106; 7979; 8162; 10399;
107; 7951; 8172; 10792;
108; 7951; 8165; 11387;
109; 7951; 8148; 10889;
110; 7951; 8131; 10698;
111; 7937; 8153; 11163;
112; 7919; 8175; 12379;
113; 7868; 8227; 10662;
114; 7862; 8323; 11214;
115; 7832; 8361; 12016;
116; 7832; 8396; 11701;
117; 7832; 8372; 11650;
118; 7832; 8314; 11389;
119; 7832; 8141; 10762;
120; 7832; 7985; 10421;
2,7,17,3,18,31,23,20,50,44,34,35,36,49,1,22,32,45,19,41,8,9,10,43,33,51,11,52,14,13,47,26,27,28,12,25,4,6,15,5,24,48,38,40,39,37,46,16,29,30,21,42,
