pop_size: 1500, generations: 250, Px: 0.75, Pm: 0.2, Tour: 10, Elite: 0.04;;;
1;142649;171305;198642
2;140862;159824;184562
3;124394;152013;171833
4;124394;145565;173816
5;118704;140026;162276
6;115590;133851;165810
7;113475;126814;147708
8;111244;122535;142989
9;110264;119550;138071
10;107554;117285;136559
11;102425;115212;135098
12;100241;112852;131289
13;98207;110208;130353
14;97231;106812;123997
15;95160;103981;121196
16;94343;101882;118671
17;92327;100061;115905
18;90826;98504;115000
19;87913;96706;112303
20;85091;94601;109988
21;84551;92468;104358
22;83430;90758;103131
23;81508;88679;106377
24;78405;86987;100567
25;78405;85750;97063
26;77926;84245;94198
27;76716;82904;95653
28;75853;81272;93423
29;73616;80169;90768
30;71768;79273;94212
31;71768;78158;91064
32;70337;76913;87365
33;69966;75075;87045
34;69438;73628;85277
35;67743;72883;82975
36;67333;71869;84751
37;66199;70917;82179
38;65840;69775;78075
39;63321;68655;80261
40;63321;67857;77447
41;62320;66879;77151
42;62242;65739;78129
43;62046;64467;73702
44;61193;63992;75554
45;60494;63363;73064
46;59347;62906;73524
47;58232;62384;72736
48;57984;61490;72633
49;57375;60569;70374
50;55180;59885;69787
51;55132;59201;71814
52;53449;58198;67645
53;53048;56902;65729
54;52135;55671;63899
55;51220;54498;65364
56;50830;53369;61732
57;50228;52570;60316
58;49785;52046;62128
59;49199;51318;60010
60;48649;50838;59335
61;47898;50313;59489
62;47897;49843;59664
63;45681;49736;61556
64;45448;49371;61619
65;45018;48907;59525
66;44417;48119;59303
67;43614;47129;57801
68;42990;46526;58886
69;42612;45724;57089
70;42371;44865;53883
71;41990;44245;55841
72;41682;43720;53996
73;40905;43530;55643
74;40905;43090;53442
75;40533;42428;51706
76;39926;41907;50113
77;39394;41328;50578
78;39104;40717;51577
79;38891;40465;49445
80;38793;40366;50192
81;38576;40169;51431
82;38375;40328;50157
83;38004;40104;50789
84;37730;39822;49055
85;37652;39771;52540
86;37378;39141;48927
87;37021;38686;46927
88;37021;38560;46835
89;36834;38427;47643
90;36728;38372;47369
91;36454;37996;47863
92;36207;37466;44980
93;36031;37196;45867
94;35677;36988;46235
95;35421;36918;46545
96;35275;36796;49245
97;34868;36468;44867
98;34526;35995;45825
99;34420;35565;44950
100;34215;35200;42171
101;34215;35018;42089
102;33700;35122;45175
103;33700;35518;45709
104;33700;35853;49695
105;33535;35794;48903
106;33480;35047;46929
107;32860;34279;43636
108;32860;34602;46104
109;32702;35014;47491
110;32333;34705;45290
111;31842;34066;44181
112;31842;34223;43891
113;31684;33711;45788
114;31541;33193;43639
115;31511;32659;41225
116;31436;32829;42420
117;31326;32809;40548
118;30648;32625;41644
119;30648;32339;40682
120;30444;32162;41048
121;29893;31806;38633
122;29731;31269;38089
123;29496;31111;41026
124;29168;30651;38675
125;28918;30138;36690
126;28710;29917;36578
127;28492;29703;38865
128;28173;29332;39339
129;28009;29136;36214
130;27987;28850;35817
131;27802;28796;37860
132;27802;28814;37726
133;27578;28740;39235
134;27578;28310;35552
135;27478;28223;36807
136;27437;28123;35076
137;27437;28077;35087
138;27187;28015;35693
139;27064;27960;35671
140;26971;27932;35330
141;26854;27693;34581
142;26761;27589;34536
143;26170;27477;39015
144;26078;27316;34236
145;25979;27256;33979
146;25741;26982;37174
147;25591;26557;33048
148;25563;26421;33107
149;25430;26250;33397
150;25380;26138;32332
151;25201;26077;36669
152;25149;25970;32987
153;25149;25758;33432
154;25103;25698;32839
155;25090;25687;33002
156;24880;25616;32788
157;24880;25631;33054
158;24880;25729;33792
159;24728;25954;34138
160;24673;26283;36410
161;24673;26259;36533
162;24673;26011;36499
163;24616;26449;38143
164;24532;26512;35928
165;24532;25624;36004
166;24463;25229;36045
167;24463;25610;35882
168;24357;26278;35797
169;24357;26235;36893
170;24356;26176;36833
171;24353;25516;34230
172;24353;25495;35937
173;24295;25840;36781
174;23752;25672;35803
175;23752;25910;39399
176;23693;25102;34997
177;23693;24728;31852
178;23692;24348;31580
179;23660;24157;30817
180;23554;24166;31111
181;23554;24200;31408
182;23554;24356;32664
183;23554;24580;35595
184;23554;25260;38064
185;23554;24452;35325
186;23554;24056;31075
187;23554;24021;30839
188;23554;23998;30708
189;23554;24034;30946
190;23554;24073;31154
191;23538;23967;31054
192;23538;23975;30946
193;23538;23995;31190
194;23538;24020;30426
195;23538;24030;30982
196;23005;23992;31059
197;23005;24054;32449
198;23005;24217;31359
199;23005;24578;36202
200;23005;24749;35274
201;23002;23552;32551
202;23001;23444;30563
203;23000;23506;30520
204;22965;23532;30433
205;22961;23475;30735
206;22961;23460;30643
207;22961;23492;30112
208;22961;23519;30263
209;22961;23449;30693
210;22961;23468;30389
211;22961;23421;30222
212;22927;23478;30693
213;22927;23432;30693
214;22927;23493;30296
215;22927;23387;30076
216;22927;23436;30562
217;22927;23420;30341
218;22927;23456;30589
219;22725;23389;30442
220;22725;23485;30485
221;22725;23407;30379
222;22725;23311;30185
