pop_size: 1200, generations: 150, Px: 0.75, Pm: 0.2, Tour: 5, Elite: 0.04;;;
1;24355;29914;33781
2;23528;28238;32984
3;22980;27079;31229
4;22719;26065;30787
5;21080;25076;30071
6;20756;24254;29744
7;18426;23449;28694
8;18426;22698;28059
9;16996;21855;27152
10;16996;21133;25166
11;16996;20301;25668
12;16141;19457;24799
13;16026;18813;23479
14;16026;18176;22018
15;15470;17569;22787
16;14852;17168;20617
17;14852;16857;20866
18;14544;16533;20040
19;14179;16131;19622
20;14142;15683;20433
21;14106;15270;17730
22;13888;14974;17729
23;13672;14754;17865
24;13578;14562;18701
25;13319;14404;17172
26;13118;14227;16940
27;12936;14034;16607
28;12837;13842;16980
29;12705;13705;16707
30;12705;13563;16241
31;12512;13427;15754
32;12225;13390;17812
33;11871;13290;15981
34;11735;13176;16346
35;11432;12977;16304
36;11432;12704;15699
37;11206;12386;16042
38;11160;12095;14918
39;10732;11867;14766
40;10696;11701;14511
41;10696;11580;14364
42;10551;11442;14359
43;10551;11374;14154
44;10536;11208;13761
45;10432;11015;14100
46;10381;10887;14309
47;10235;10814;13701
48;10205;10768;13379
49;10021;10665;13464
50;9930;10609;12870
51;9922;10572;13880
52;9774;10565;12868
53;9774;10431;14407
54;9774;10290;13412
55;9632;10173;13068
56;9632;10012;12567
57;9282;9907;12505
58;9199;9885;12080
59;9199;9818;12764
60;9143;9756;13046
61;9143;9768;12354
62;9143;9744;13477
63;9047;9762;12347
64;8974;9724;13565
65;8955;9639;12766
66;8943;9599;12736
67;8852;9516;12321
68;8797;9474;12486
69;8797;9510;12935
70;8541;9459;13074
71;8541;9397;12690
72;8541;9335;13626
73;8541;9322;12225
74;8485;9149;12339
75;8467;9041;11663
76;8424;8832;11447
77;8319;8689;11264
78;8313;8652;11235
79;8208;8590;10976
80;8208;8576;11099
81;8126;8526;10908
82;8126;8425;11099
83;8126;8373;10582
84;8116;8331;10927
85;8116;8314;11026
86;8114;8300;10923
87;8029;8266;10848
88;8029;8278;10857
89;8020;8257;10833
90;8018;8278;11025
91;8017;8293;10962
92;7981;8327;11161
93;7981;8248;11259
94;7888;8153;10613
95;7850;8141;10405
96;7850;8162;10883
97;7850;8182;10891
98;7808;8200;11151
99;7808;8097;10654
100;7808;8004;10209
101;7808;7987;10168
102;7808;7967;10404
103;7808;7938;10718
104;7808;7938;10527
105;7808;7956;10527
106;7808;7945;10243
107;7808;7959;10263
108;7808;7958;10404
109;7808;7953;10513
110;7808;7969;10404
111;7808;7978;10527
112;7808;8007;11360
113;7808;8090;11607
114;7808;8199;12436
115;7808;8299;12858
116;7808;8356;12318
117;7808;8072;12205
118;7800;7944;10957
119;7800;7958;10195
120;7800;7945;10513
121;7800;7947;10513
122;7800;7945;10710
123;7800;7933;10710
124;7800;7928;10710
125;7800;7929;10128
126;7800;7961;10519
127;7800;7939;10313
128;7800;7925;10411
129;7800;7938;10188
130;7800;7942;10396
131;7800;7935;10674
132;7800;7953;10598
133;7800;7942;10174
134;7800;7938;10674
135;7800;7943;10710
136;7800;7948;10710
137;7800;7937;10519
138;7800;7947;10598
139;7800;7954;10710
140;7800;7929;10313
141;7800;7947;10061
142;7800;7945;10577
143;7800;7941;10159
144;7800;7930;10598
145;7800;7965;10598
146;7800;7951;10710
147;7800;7945;10710
148;7800;7941;10183
149;7800;7933;10519
150;7800;7928;10159
11,51,33,10,9,8,41,19,45,32,49,1,22,31,18,3,17,21,42,7,2,30,23,20,50,29,16,46,44,34,35,36,39,40,37,38,48,24,5,6,15,43,4,25,12,28,27,26,47,13,14,52,;;;
