pop_size: 4000, generations: 600, Px: 0.75, Pm: 0.2, Tour: 30, Elite: 0.04;;;
1;444082;495628;551090
2;430265;470099;507579
3;421063;454329;497581
4;404422;440908;487058
5;401881;429497;466352
6;393210;418927;458345
7;376817;408528;451280
8;372086;401300;451353
9;366607;391504;443812
10;356967;377727;419217
11;352560;368677;404302
12;342010;361296;385369
13;336691;356031;380851
14;333746;349315;374665
15;327860;342553;373876
16;317387;337090;363080
17;314371;331918;356289
18;309864;325567;354615
19;302266;319006;342785
20;300247;313584;334309
21;294000;308057;329870
22;288231;302789;322165
23;283890;297771;321505
24;278371;292720;320322
25;274220;288464;314204
26;271847;283846;306577
27;265413;279189;301052
28;259398;274968;297238
29;256934;270580;296096
30;249583;265648;292807
31;246785;261754;283628
32;240694;257792;281283
33;239682;252485;274630
34;226743;247887;271012
35;226720;242828;267144
36;222203;236803;258642
37;220122;228619;246315
38;217929;227010;242379
39;212961;224568;239870
40;208247;221604;238954
41;206628;217639;233641
42;204138;213928;228336
43;201181;210509;226333
44;200510;207600;223251
45;194552;204692;216755
46;192099;201973;217136
47;190781;199256;213451
48;188328;195201;207556
49;185578;192143;204559
50;184470;189153;201826
51;181600;187027;197597
52;179076;184972;194994
53;176748;182650;193016
54;173194;180287;191624
55;170061;177453;189574
56;168638;174378;185725
57;166864;172335;182291
58;166345;170554;180662
59;165098;169012;179329
60;162856;167497;176761
61;160835;166406;175898
62;159139;165219;175944
63;157199;163556;174249
64;155441;161618;171996
65;152755;159608;172835
66;151525;157795;170755
67;149386;155922;168572
68;147663;154078;165518
69;145806;152205;164041
70;144239;150136;161513
71;142149;148156;160973
72;140224;146386;156902
73;139123;144433;159682
74;137755;142218;154184
75;136099;140749;151478
76;134814;139501;149897
77;133324;138204;148927
78;131524;136652;148438
79;129907;135049;146222
80;128469;133199;143024
81;126144;131566;140428
82;125198;129778;138505
83;122962;128361;138748
84;121406;126663;137609
85;119707;124942;134145
86;118893;123294;133513
87;118322;121871;135712
88;116265;120342;128378
89;115422;119159;130800
90;112803;117800;129038
91;111312;117004;127167
92;110714;115478;128035
93;109401;114036;126156
94;107747;112873;122496
95;105150;111426;124027
96;104196;109784;120620
97;103061;108104;116553
98;101471;105942;116247
99;101196;104663;114706
100;99655;103729;113924
101;98806;102694;112853
102;98005;101835;110496
103;97194;100562;112157
104;94908;99631;109360
105;94230;98808;107929
106;94092;96933;108276
107;93175;95323;104296
108;92381;94623;103699
109;91968;93710;101116
110;90929;93311;102392
111;90333;92704;102290
112;89292;92056;101241
113;88420;91660;101674
114;87596;90948;101182
115;86643;90012;100263
116;85583;89142;98931
117;84425;88182;98227
118;83132;87556;97617
119;82284;86200;96183
120;81838;84875;93004
121;80276;83979;94338
122;78945;82941;91933
123;78740;81316;89255
124;77512;80523;89352
125;76729;79656;89105
126;75838;78962;87658
127;74930;78035;85982
128;74337;77299;86911
129;73906;76219;84276
130;73242;75389;83773
131;72970;75041;83603
132;72231;74482;84210
133;71895;74205;82540
134;71155;73687;81999
135;70647;73080;81322
136;70220;72470;80430
137;69602;71606;80424
138;69145;70994;78457
139;68305;70569;78852
140;67305;70045;79333
141;65980;69474;79282
142;65244;68424;77283
143;64908;67012;75259
144;64437;65985;72935
145;63969;65491;71691
146;63290;64997;71379
147;63247;64674;71793
148;62461;64475;71669
149;61622;63996;71803
150;61443;63477;70749
151;60190;63038;71680
152;60077;62297;71416
153;59499;61848;70718
154;59177;60596;67599
155;58846;60455;68572
156;58300;60407;68670
157;57986;60252;71973
158;57594;59860;69869
159;57215;59566;67981
160;56908;59209;70117
161;56507;59008;67145
162;56091;58649;69834
163;55053;57958;67723
164;54453;57333;65275
165;54096;56803;64542
166;53679;56127;64484
167;53285;55731;66043
168;53003;55308;65214
169;52235;54790;62276
170;52006;54361;64024
171;51363;53834;62635
172;51328;52744;62451
173;51153;52024;59243
174;50812;51744;57042
175;50067;51572;57100
176;49866;51358;57401
177;49291;51047;57148
178;48823;50355;55893
179;48529;49850;56207
180;48046;49401;55557
181;47726;49043;55411
182;47376;48608;54158
183;47021;48267;54342
184;46567;47920;53608
185;46159;47589;54555
186;45895;47203;53313
187;45498;46838;52746
188;45101;46457;53217
189;44504;46032;52392
190;44117;45600;52672
191;43903;45073;51624
192;43615;44648;50973
193;43069;44342;50655
194;42997;44018;50511
195;42704;43748;50100
196;42473;43465;49889
197;42350;43221;50129
198;42125;43065;50548
199;41817;42881;48653
200;41705;42678;49242
201;41286;42523;49925
202;40923;42265;48353
203;40795;41956;49745
204;40579;41568;47816
