pop_size: 4000, generations: 450, Px: 0.75, Pm: 0.2, Tour: 10, Elite: 0.04
1; 295636; 339898; 384093;
2; 290028; 322932; 363273;
3; 283371; 311133; 345422;
4; 269914; 302477; 340796;
5; 260275; 295541; 330584;
6; 260275; 288914; 327091;
7; 257557; 282056; 317032;
8; 254404; 276083; 314108;
9; 245388; 271324; 312560;
10; 245332; 267080; 308402;
11; 237099; 262267; 310290;
12; 235286; 258079; 295943;
13; 233866; 253748; 291597;
14; 231705; 249589; 289501;
15; 227636; 245342; 286245;
16; 224135; 240563; 279310;
17; 222327; 236770; 273948;
18; 219448; 233148; 272059;
19; 215469; 229001; 266218;
20; 209592; 225711; 259955;
21; 207830; 222803; 248368;
22; 204921; 219822; 240779;
23; 202072; 216729; 241662;
24; 199613; 213450; 241616;
25; 195306; 210354; 232912;
26; 192273; 207547; 236320;
27; 190938; 204958; 228674;
28; 188443; 202582; 227154;
29; 185882; 200110; 224524;
30; 184043; 197820; 220363;
31; 181255; 195073; 216546;
32; 178689; 192440; 214339;
33; 178111; 190546; 215943;
34; 174431; 188097; 219404;
35; 172202; 185386; 209009;
36; 170620; 183286; 209737;
37; 167179; 181420; 205362;
38; 167179; 179223; 200626;
39; 166100; 177302; 198918;
40; 163592; 175503; 196201;
41; 162316; 173817; 201096;
42; 161414; 172116; 194228;
43; 157256; 170510; 190840;
44; 157256; 168935; 192851;
45; 156840; 166976; 189757;
46; 155105; 164865; 188289;
47; 151814; 162822; 183865;
48; 150639; 160793; 179636;
49; 150145; 159143; 180915;
50; 148257; 157233; 175410;
51; 146735; 155336; 171331;
52; 145200; 154005; 171363;
53; 143333; 152568; 169660;
54; 141841; 151343; 172884;
55; 139464; 149879; 166373;
56; 139464; 148558; 164458;
57; 137821; 147107; 166822;
58; 136445; 145500; 163540;
59; 135067; 143931; 170159;
60; 132976; 142460; 160243;
61; 131959; 141238; 161212;
62; 128916; 139998; 157579;
63; 127305; 138692; 158056;
64; 127296; 137108; 155407;
65; 125110; 135290; 154912;
66; 124246; 133769; 150873;
67; 123841; 132216; 151258;
68; 123303; 131054; 146058;
69; 122862; 129793; 145393;
70; 121104; 127996; 144954;
71; 119864; 126331; 140741;
72; 117500; 125785; 141474;
73; 117091; 125006; 139228;
74; 116487; 123875; 140204;
75; 114661; 122563; 139678;
76; 112905; 120881; 134587;
77; 112426; 119216; 135482;
78; 110724; 118102; 133034;
79; 110681; 116615; 128521;
80; 109451; 114841; 130281;
81; 108294; 113776; 130616;
82; 107761; 112914; 124826;
83; 107552; 111591; 124206;
84; 106600; 110276; 123408;
85; 105710; 109467; 121013;
86; 104419; 108718; 120010;
87; 104419; 107545; 118113;
88; 103473; 106520; 116227;
89; 102828; 106051; 117484;
90; 101373; 105375; 116014;
91; 100881; 104629; 117083;
92; 100397; 103730; 115371;
93; 100150; 103011; 113312;
94; 99203; 102324; 112529;
95; 98494; 101695; 113070;
96; 98133; 101173; 113607;
97; 96882; 100510; 112767;
98; 96358; 99734; 111650;
99; 95241; 98964; 112327;
100; 94281; 98111; 111403;
101; 93510; 97299; 108952;
102; 92975; 96354; 108094;
103; 91774; 95503; 107349;
104; 91568; 94635; 107233;
105; 90685; 93874; 105822;
106; 89755; 93252; 105912;
107; 88576; 92498; 104989;
108; 88370; 91684; 101073;
109; 87860; 90850; 103052;
110; 87147; 90128; 102210;
111; 86176; 89432; 104309;
112; 86029; 88888; 100346;
113; 84586; 88077; 98163;
114; 84586; 87382; 97850;
115; 83468; 86713; 97064;
116; 83080; 86042; 95864;
117; 82508; 85199; 95655;
118; 82071; 84418; 95645;
119; 81780; 83938; 94286;
120; 81337; 83420; 93076;
121; 81019; 83066; 94235;
122; 80297; 82841; 96008;
123; 80072; 82393; 94028;
124; 79253; 81999; 92468;
125; 78693; 81540; 93392;
126; 78255; 81088; 90194;
127; 77885; 80615; 90951;
128; 77009; 79712; 90688;
129; 76429; 79340; 91534;
130; 76134; 78944; 91762;
131; 75371; 78463; 90078;
132; 74691; 77856; 87221;
133; 74295; 77084; 86659;
134; 73463; 76277; 85863;
135; 73243; 75585; 84420;
136; 72954; 74951; 84991;
137; 72701; 74301; 85604;
138; 72649; 73965; 84294;
139; 72140; 73793; 85487;
140; 71712; 73638; 83869;
141; 71187; 73498; 84405;
142; 70976; 73169; 86404;
143; 70072; 72840; 82696;
144; 69897; 72418; 82901;
145; 69204; 71922; 81321;
146; 68610; 71423; 82671;
147; 67755; 70875; 80673;
148; 67304; 70041; 81644;
149; 66930; 69295; 79721;
150; 66341; 68589; 76649;
151; 65452; 67997; 76281;
152; 65135; 67540; 75717;
153; 64696; 67103; 79161;
154; 64225; 66379; 75114;
155; 64024; 65762; 74713;
156; 63572; 65318; 73043;
157; 63134; 64902; 71945;
158; 62913; 64492; 73919;
159; 62664; 64105; 71468;
160; 62345; 63826; 71247;
161; 62103; 63682; 73683;
162; 61443; 63711; 72330;
163; 61134; 63486; 75655;
164; 60857; 63040; 75203;
165; 60352; 62607; 74037;
166; 60087; 61969; 71816;
167; 59706; 61529; 72084;
168; 59563; 61687; 74290;
169; 59233; 61394; 72518;
170; 59107; 60755; 73641;
171; 58587; 60355; 73007;
172; 58587; 60393; 70090;
173; 58384; 60312; 70963;
174; 57548; 60347; 71225;
175; 57455; 60372; 72154;
176; 57203; 60195; 73537;
177; 56720; 60056; 70175;
178; 56720; 59735; 71588;
179; 55974; 59265; 71816;
180; 55335; 58981; 71883;
181; 55130; 58743; 71327;
182; 54816; 57820; 68561;
183; 54466; 57660; 69182;
184; 54425; 57311; 71383;
185; 54342; 56629; 69127;
186; 53922; 56526; 72670;
187; 53760; 56293; 66573;
188; 53372; 56159; 71924;
189; 53372; 56045; 67663;
190; 53247; 55373; 67851;
191; 53090; 54517; 64023;
192; 53090; 54162; 66517;
193; 52814; 54135; 64907;
194; 52814; 53864; 63776;
195; 52620; 53763; 65746;
196; 52229; 53464; 61718;
197; 51865; 53383; 65045;
198; 51628; 53226; 63360;
199; 51470; 52955; 63400;
200; 51240; 52861; 64560;
201; 51171; 52679; 64954;
202; 50745; 52100; 65759;
203; 50745; 52025; 63412;
204; 50508; 52022; 64259;
205; 50258; 52149; 64377;
206; 49981; 51777; 63419;
207; 49832; 51604; 67051;
